content,Score,Scoring String,Negativity,Positivity,Uncovered Tokens,Total Tokens,sentiment
asri tak boleh macam dr samhan cakap masa komen pasal program lawan tolonglah fikirkan frontliners,0,,0,0,15,15,neutral
aug puisidarurat lawan kerajaangagal aseprite pixelart pixel dailies bit bitart southeastasia malaysia shikasketchbook,0,,0,0,13,13,neutral
suka hati je fitnah geng lawan tanpa bukti,0,,0,0,8,8,neutral
asri ya betul tak nampak berkumpul kat luar outdoor risiko jangkitan berkali ganda lebih rendah dari berkumpul indoor dalam perhimpunan lawan tak ada kluster muncul results yb khalid samad negatif,0,,0,0,30,30,neutral
polis malaysia kerajaangagal undang undang lawan,0,,0,0,6,6,neutral
utter bs all the time let s see what you do for b whom you left high and dry till all wave white flags malaysia lawan,0,,0,0,26,26,neutral
gang lawan main issue racist lak bab ni korang sendu siak keluargamalaysia,-0.769230769,racist (-0.77),0.769230769,0,11,12,negative
merdeka lawan pengkhianat,0,,0,0,3,3,neutral
temuan tersebut menjadi indikasi terdapatnya kepentingan ekonomi di balik serangkaian operasi militer ilegal di intan jaya nama nama aparat militer yang muncul pun tidak sembarangan papuabukantanahkosong stoprampastanahadat selamatkanmhapapua lawan,0,,0,0,29,29,neutral
he says such things but will he then allow and understand why the peaceful protests organised under lawan are crucial during a time like this will he consider criticism and accept different perspectives of his government,0.871794872,allow (0.23)  peaceful (0.56)  protests (-0.23)  like (0.38)  criticism (-0.49)  accept (0.41),0.717948718,1.58974359,30,36,positive
budak budak lawan ni asal dan rata rata pun mmg sukarelawan orang orang yang buat kerja underground pakcik biasalah pakcik hidup kena tekan sampai satu saat pun orang mana boleh tahan tu sebab lawan saya pun boleh condemn banyak budak pas segala lajnah tapi takpelah,-0.41025641,condemn (-0.41),0.41025641,0,44,45,negative
iamjefrizain adzakiibrahim syedsaddiq yvonneridley dap jahat penghasut rakyat lawan gomen mana budak baju hitam,0,,0,0,14,14,neutral
ini semua agenda politik dah penat mengeluarkan kata racist untuk dapat sokongan now dah jadi pm kerajaan barulah bajet perpaduan lawan,-0.769230769,racist (-0.77),0.769230769,0,20,21,negative
badboy bakar sikit semangat reformasi lawan,0,,0,0,6,6,neutral
omg this is literally the best tweet ever everything in a nutshell taliban islam afghanistancrisis umno lawan,0.820512821,best (0.82),0,0.820512821,16,17,positive
awani finally dap change can dap lawan to join you guys,0.307692308,join (0.31),0,0.307692308,10,11,positive
a timely quote for malaysians who seems to have lost hope after getting mael as pm and reportedly getting jimin as tpm chin up guys we didnt lose the election it was stolen next one is probably next year dont lose hope reformasi lawan notmypm kerajaangagal,-0.794871795,lost (-0.33)  hope (0.49)  lose (-0.44)  stolen (-0.56)  lose (-0.44)  hope (0.49),1.769230769,0.974358974,40,46,negative
azmin semburit yang paling benci kepala otak kau tpm azminsemburit notmypm kerajaangagal lawan,0,,0,0,13,13,neutral
to pm ismailsabri pls do not retain previous cabinet line up amp try to reduce the number of cabinet members spend wisely jangan membazir duit rakyat choose your cabinet ministers based on merit lawan zuraida my what you do today will influence pru outcome,1.076923077,pls (0.08)  number (0.08)  wisely (0.46)  merit (0.46),0,1.076923077,40,44,positive
malaysiakini taliban is better than dap cause dap hasut rakyat lawan gomen,0.487179487,better (0.49),0,0.487179487,11,12,positive
nuarwahid wahhhh finally pulang gak mat wajib berjumpa ni share pengalaman dan kewangan haha lawan,0.820512821,share (0.31)  haha (0.51),0,0.820512821,13,15,positive
fadzililim ismailsabri its time to attack new pm muhyiddinyassin era is over these lawan are born with hatred they are born to againts anything that don t like democracy is dead,-1.820512821,attack (-0.54)  hatred (-0.82)  like (0.38)  dead (-0.85),2.205128205,0.384615385,27,31,negative
colorkan bendera malaysia hitam putih biadap tak hormat habistu time ujian pertengahan tahun kat sekolah dulu asal bendera malaysia di print hitam putih hah cikgu sivik aku tak hormat bendera ke ke dia lawan dari dulu hmmm,0,,0,0,37,37,neutral
jangan biarkan dibuli macamni lawan lawanbalik lawanintimidasi stop bullying human rights defenders ipcmcnow,-0.974358974,stop (-0.31)  bullying (-0.74)  defenders (0.08),1.051282051,0.076923077,10,13,negative
izzazhar musuh rakyat sepatutnya adalah covid daripada lawan baik jadi sukarelawan di ppv,0,,0,0,13,13,neutral
zakrialwi rajapetra lawan tetap lawan bai tiap hari kasi lawan,0,,0,0,10,10,neutral
aznanajib panggil budak lawan yang buat memeorial dengan demo haritu turun kedah ada faedah juga,0,,0,0,15,15,neutral
kami sedia bersolidariti lawan lawanintimidasi kerajaangagal,0,,0,0,6,6,neutral
teruskan perjuangan kita pembangkang tak akan henti lawan,0,,0,0,8,8,neutral
tak boleh nafi kan lah pemuda pas ni lebih matang dan rasional berbanding muda lawan tuu diam mereka bukan bermakna mereka setuju tapi mereka lebih cenderung memberi ruang kepada mereka yang lebih layak dalam menentu sesuatu perkara dalam membuat keputusan,0,,0,0,40,40,neutral
dari pagi ke malam dari malam ke pagi kami tatap lawan,0,,0,0,11,11,neutral
you re okay with malaysia goverment keluargamalaysia kerajaan notmypm ismailsabri umno lawan lawantetaplawan ltl,0.230769231,okay (0.23),0,0.230769231,13,14,positive
good move make sure apa yg dikata harus dikota kalau tak lawan,0.820512821,good (0.49)  sure (0.33),0,0.820512821,10,12,positive
budak budak lawan ini banyak terpedaya dengan politikus liberal sebab itu kita tengok cara pergaulan dan aktiviti mereka tiada faedah bahkan memudaratkan generasi muda dan masyarakat,0,,0,0,26,26,neutral
jauh beza pemuda pas dan jabatan amal dengan budak budak lawan entah apa tu pemuda pas dan jabatan amal rata rata dari kalangan orang muda remaja dan latar belakang agama serta teknokrat pergi ke sana sini membantu orang susah bantuan bekalan air mangsa banjir,0,,0,0,44,44,neutral
ape la buat demostrasi atas nama solidarity mangsa covid tapi dalam truck jerit slogan lawan kantoi la agenda politic berapa diorang punya payment ye sampai berani camtu betul committed tuu hahaha tak nak beri kerjasama dengan pihak kuasa cakap dikasari pulak,1.256410256,solidarity (0.31)  committed (0.28)  hahaha (0.67),0,1.256410256,38,41,positive
mungkin ada perhimpunan cengkerik hitam lawan,0,,0,0,6,6,neutral
finally done for today lodged a report at ipd sentul for unlawful arrest by ipd dang wangi was then called to ipd dang wangi for further investigation for unlawful arrest by ipd dang wangi lawan,-0.717948718,arrest (-0.36)  arrest (-0.36),0.717948718,0,33,35,negative
sinaronline luluskan muda setakat lawan di jalanan pacak lilin letak bunga lemah kepala lulut co founder saddiq pun main hentam pasal taliban suka main tiktok konon nak bincang isu negara,0,,0,0,30,30,neutral
tak pernah tersentuh macam ni dengan lirik dan video any lagu everything can relate and macam macam dalam fikiran lawan,0,,0,0,20,20,neutral
aidi asraf kalau kita ditindas jalan akhirnya memang perlu bersyukur je pasal lawan tu pun dg kata takde kluster pun semua ada opinion sendiri jadi terpulang la,0,,0,0,27,27,neutral
adilahrshdd bersyukur lah ckup serba serbi bukan negara kita je yg ggl utk tangani covid ni negara maju yg lain pom sama masih ggl mcm kita susah lawan pnyakit yg xnmpk ni lg klau ad msyrkat kita yg masih degil lg siap buat perhimpunan lawan lg do,0,,0,0,47,47,neutral
azizzhakim malaysia lawan kerajaan,0,,0,0,4,4,neutral
aku baru tahu yang uk dulu pun mengharamkan hubungan homoseksual sehingga tahun ini menunjukkan bahawa fitrah manusia itu normal tetapi dirosakkan sedikit demi sedikit sebab itu kita kena lawan geng pro lgbt mereka cuba membawa fahaman yg mengikuti nafsu mereka lawan,0,,0,0,41,41,neutral
klimaaction have they considered challenging the compounds instead speak to supportive lawyers lawan habis habisan,0.461538462,challenging (0.15)  supportive (0.31),0,0.461538462,13,15,positive
yup tengok dia jujur ke tidak nak bantu org muda lawan,0,,0,0,11,11,neutral
shaqirahbaharin sofiyaazlaini kalau saman belum tentu menang aku mesti lawan,0,,0,0,10,10,neutral
apa je ar yg aku harap dari org yg jaga sop pun tak firm walaupun dah setahun covid bukan kerajaan yg aku vote lawan,0,,0,0,24,24,neutral
kebebasan berhimpun dikekang ketakutan berikutan beberapa insiden yang berlaku baru baru ini semasa protes lawan dan memorial candlelight vigil rakyat mungkin tertanya tanya adakah kami semakin kehilangan kebebasan adakah ruang demokratik kami semakin mengecil,0,,0,0,34,34,neutral
sejak beberapa minggu ini anak muda dipanggil berkali kali untuk siasatan dan diheret ke balai jika benar benar pentingkan suara anak muda hentikan intimidasi terhadap kami undinow lawan muda,0,,0,0,29,29,neutral
azurainali bukanmakkausorangmasaksedap makakupon lawan,0,,0,0,4,4,neutral
if revolution happen in malaysia for better and proper governance and if we happen to succeed then i am living in best era of malaysian history and my life to have witness such a change lawantetaplawan kerajaaangagal lawan ismailsabrigagal,1.871794872,better (0.49)  succeed (0.56)  best (0.82),0,1.871794872,36,39,positive
why can t female law students wear trousers lawan lawsan nigerialaw lawstudents,0,,0,0,12,12,neutral
my grand aunt who is years old is an avid supporter of the lawan movement this morning she shared her views on why what happened at the vigil was absolutely ridiculous i m proud of my grand aunt she should respond to all the haters attacking me,1.051282051,grand (0.51)  avid (0.31)  supporter (0.28)  shared (0.36)  ridiculous (-0.38)  proud (0.54)  grand (0.51)  haters (-0.56)  attacking (-0.51),1.461538462,2.512820513,38,47,positive
lawan notmypm,0,,0,0,2,2,neutral
if is fail to show majority support he will be the shortest pm in malaysian history to few days jokes to share with our future generation i am having a laugh with my kids for sure if he did jokes on the country and citizens lawan kerajaaangagal ismailsabri,1.615384615,fail (-0.64)  support (0.44)  jokes (0.26)  share (0.31)  laugh (0.67)  sure (0.33)  jokes (0.26),0.641025641,2.256410256,41,48,positive
keluargamalaysia is a good thing it s good because young millennials and gen z s have seen this gaslighting bullshit in corporate settings before and will see right through it lawan harder lawan stronger we must overcome these parasite class capitalists,0.666666667,good (0.49)  good (0.49)  bullshit (-0.72)  stronger (0.41),0.717948718,1.384615385,37,41,positive
atas arahan siapa arahan atas lawanintimidasi lawan,0,,0,0,7,7,neutral
takkan raj represent police yang attended lawan is raj representing police attending lawan,0,,0,0,13,13,neutral
farhaz fitriazmann gerakmalaysia some of the lawan protestors should revoke their malaysian ic if they think the flag is murah macam harga ikan at least have a common sense jalur gemilang tiada kena mengena dengan politik negara nak guna flag g,0,,0,0,41,41,neutral
fuhh nasib baik dekat nz takde lawan kalau tak mesti buat demo,0,,0,0,12,12,neutral
harassment and intimidation of malaysian lawyer rajsurian pillai for representing his activist clients lawanintimidasi lawan malaysia cc ibahri icj asia civicusmonitor marylawlorhrds,-1.102564103,harassment (-0.64)  intimidation (-0.46),1.102564103,0,20,22,negative
sejak kedatangan varane lindelof berusaha keras utk membuktikan keabsahan beliau sbgai centre back manutd ggmu lawan,0,,0,0,16,16,neutral
binjitt anwaribrahim musuh kita adalah covid daripada lawan baik pergi jadi sukarelawan di ppv,0,,0,0,14,14,neutral
saladin alnasir rajapetra jangan jadi mangsa politikus ini bukan masa untuk lawan tunggu covid habis lepas tu kita pergi mengundi baru betul,0,,0,0,22,22,neutral
last call untuk pre order baju bangkit dan lawan sebelum kami menutup tempahan malam ini,0,,0,0,15,15,neutral
kalau ismailsabri jujur dan ikhlas ingin mendegar suara anak muda boleh mula dengan menghentikan intimidasi terhadap peserta protes lawan dan juga lancarkan siasatan terhadap kekerasan yang berlaku semasa vigil memperingati kematian covid di dataran merdeka,0,,0,0,35,35,neutral
panggilan akhir baju bangkit dan lawan batch kami akan menutup tempahan untuk batch kedua hari ini jam malam oleh itu bagi yang ingin menempah ini adalah peluang terakhir anda sekiranya berminat terus isi link berikut,0,,0,0,35,35,neutral
boombox saurdanpusaka surabayamembara ceritadariduniadayone comicbook pahlawanindonesia superheroindonesia jagoanindonesia komikindonesia indonesiancomicbook komikpahlawanindonesia komiksuperheroindonesia komikjagoanindonesia pahlawanindonesia cergam lawan,0,,0,0,16,16,neutral
aku kibarkan bendera hitam dengan bendera jalur gemilang sekali nanti mknjpm notmypm lawan lawantetaplawan,0,,0,0,14,14,neutral
awani ismailsabri as an olive branch take the first step to stop harassing and intimidating lawan and approve partimuda s registration if not it s all just words and insincerity ball is in your court ismailsabri,-1.794871795,stop (-0.31)  harassing (-0.64)  intimidating (-0.49)  insincerity (-0.36),1.794871795,0,32,36,negative
keluarga malaysia no anwar no dap bmf sembang lah lawan,-0.615384615,no (-0.31)  no (-0.31),0.615384615,0,8,10,negative
ismailsabri kerajaaangagal lawan benefit of doubts will be given as what recourse have we be part of your family definitely i will not i hope your cabinet will not be filled with liars thieves et tu brutus and brainless dork pending that my,-0.435897436,benefit (0.51)  doubts (-0.31)  definitely (0.44)  hope (0.49)  liars (-0.62)  thieves (-0.59)  dork (-0.36),1.871794872,1.435897436,36,43,negative
perutusan sampai mampus its the blind leading the blind to their demise democracyisdead lawan notmypm,-0.871794872,blind (-0.44)  blind (-0.44),0.871794872,0,13,15,negative
muhdakmalysri setiap hari aku tunggu tweet kau idola lawan,0,,0,0,9,9,neutral
gerakmalaysia salute jacky tv ni lagi patriotik dari budak budak itam lawan bebal inibenderakita,0,,0,0,14,14,neutral
hourlymalaytwt video sajat lawan,0,,0,0,4,4,neutral
jom derma rm seringgit pun tak apa sedangkan orang menggunakan konsep derma sebagai perniagaan atau pekerjaan apa kata kita menderma demi kebebasan masa depan manusia berhimpun untuk solidariti p s mereka patuh sop lawan,0,,0,0,34,34,neutral
following the police violence that happened right after our peaceful vigil on thursday night we have lodged a police report against the unlawful arrests that were made earlier this afternoon at ipd sentul lawan,-0.717948718,violence (-0.79)  peaceful (0.56)  arrests (-0.49),1.282051282,0.564102564,31,34,negative
iasymochii ini adalah hak asasi manusia untuk jatuh cinta kat sesiapa pun lawan peraturan macam ni,0.487179487,hak (0.49),0,0.487179487,15,16,positive
mutalibuthman when dumb people don t know how to differentiate between patriotic and politics pathetic pun intended stand tall abg mut lawan,-1.282051282,dumb (-0.59)  pathetic (-0.69),1.282051282,0,20,22,negative
lei lmonoly haha so berak cuci tak ke selet tiau je euww jijik sia aku pakai brg made in china ke made in bhutan ke aku kisah apa skrg aku bising pasal penyokong dapig puak lawan anti keputusan kdymm kau ni buta ke sepet,0.179487179,haha (0.51)  anti (-0.33),0.333333333,0.512820513,42,44,positive
ko nampak same shit different day same cirit different day lawan notmypm tsmy kerajaangagal,-0.666666667,shit (-0.67),0.666666667,0,13,14,negative
thekishenthinks interesting turn of event though with all the protest by lawan muhyiddinletakjawatan muhyiddingagal muhyiddinout kerajaanderhaka kerajaanderhaka kerajaanbangsat etc zahid hamidi amp his gang rode on these sentiments am,0.179487179,interesting (0.44)  protest (-0.26),0.256410256,0.435897436,27,29,positive
kes covid sama je dah tukar pm pun mana bebudak beria buat perbarisan lawan itu hari,0,,0,0,16,16,neutral
kerajaan baru mrk tak akn serius krn same shit different day kerajaangagal ssdd lawan,-0.666666667,shit (-0.67),0.666666667,0,13,14,negative
this needs more eyes lawan covid kitajagakita kerajaangagal kerajaangagal kerajaanpembunuh kerajaanbangsat,0,,0,0,11,11,neutral
kalau anwaribrahim jadi pm habisla malaysia habisla melayu habistu sekarang melayu kaya raya ke sibat melayu hidup senang lenang ke susah nak betulkan bangsa gilakan bantuan ni pemikiran mundur rate gaji tahun same apedehal asalkan kerajaan tak putus bagi bantuan lawan,0,,0,0,41,41,neutral
apakah sinisisme saya for start kraf saya pentingkan kraf tapi di hadapan ketidakadilan adakah itu penting kalau berada di lapangan bantahan adakah tempatnya nak borak pasal kraf kraf ada masa dan tempatnya untuk borak sama juga dengan lawan,0,,0,0,38,38,neutral
panas tunggu kami di parlimen salahuddin cabar mail ismailsabri umno anwar pm lawan agong kerajaangagal kerajaangagal kerajaanbangsat kerajaanrecycle kerajaanpn kerajaancelaka via youtube,0,,0,0,22,22,neutral
notmypm lawan petang nanti mael baca surah al baqarah dengan doa qunut everything will be okay lol,0.102564103,doa (-0.59)  okay (0.23)  lol (0.46),0.58974359,0.692307692,14,17,positive
makin lama makin menyampah lak dgn puak lawan ni sampai tak nak sambut merdeka bagai,0,,0,0,15,15,neutral
police violence is regular and unaccountable in malaysia lawan ipcmcnow youth sues cops disabled father screamed for beating to stop before dying says son,-1.948717949,violence (-0.79)  screamed (-0.33)  beating (-0.51)  stop (-0.31),1.948717949,0,20,24,negative
buat report polis pasal polis hari ini report hari ini kena panggil buat siasatan atas report terbaik polis harap kes kes lain dibuat sepantas ini jugak lawan,0,,0,0,27,27,neutral
warning konten ini mengandung spoiler ada beberapa hal yang bisa kita petik dari menonton film nih sobat bnn kalian udah nonton belum yuk komen dibawah warondrugs film serigalaterakhir movie lawan narkoba,-0.358974359,warning (-0.36),0.358974359,0,30,31,negative
bila time ppv beratur sesak polis kata dah tegur dorang tak nak dengar alaaaaa kau dah ditrain ada kuasa takkan bagi alasan bodoh macam tu baik upah budak sekolah rendah je time lawan ikut sop ada pulak polis satu truck turun padang macam dorang tengah clubbing pdrmsia,0,,0,0,47,47,neutral
matshatry addy samsudin lawan ltl,0,,0,0,5,5,neutral
lawan satu sandiwara but life is a play anyways so we play hard may this be the best opera tion ever break a leg patriots,1.435897436,play (0.36)  play (0.36)  hard (-0.10)  best (0.82),0.102564103,1.538461538,21,25,positive
the millenial and geny undi and lawan youths give me hope the same hope the boomer and genx my generation politicians keep trying to destroy,0.333333333,hope (0.49)  hope (0.49)  destroy (-0.64),0.641025641,0.974358974,22,25,positive
rajapetra wow so true kita lawan sama kerajaan gagal ini,1.179487179,wow (0.72)  true (0.46),0,1.179487179,8,10,positive
nak kibar benderahitam sebagai tanda solidariti rakyat lawan kerajaan recycle boleh,0,,0,0,11,11,neutral
olehtu jgn salahkan tun utk semuanya jgn scapegoat kerajaaangagal lawan,-0.435897436,scapegoat (-0.44),0.435897436,0,9,10,negative
salam ahad dimaklumkan ada orang bertanya khabar di sebalik acc ini mengenai tweet dengan hashtag lawan dengan senyuman balas ingin bertanya kembali apa khabar semua moga baik saja sehingga kita bersua muka baca buku tambah ilmu,0,,0,0,36,36,neutral
apa lagi umno mau lawan,0,,0,0,5,5,neutral
sapemung shameful emosi dekat semua benda pun takleh jugak kata nak lawan dari muda tpi otak benak cam politik tua jugakkk lmao,0.179487179,shameful (-0.56)  lmao (0.74),0.564102564,0.743589744,20,22,positive
kita jg tak tau kekurangan keikhlasan sllu lapar kuasa jika try hard but failed berkali sila move on atau dengarkan nasihat tun dsaipm pm pru lawan kerajaaangagal,-0.692307692,hard (-0.10)  failed (-0.59),0.692307692,0,25,27,negative
aakisss lawan,0,,0,0,2,2,neutral
just when your wardrobe broke and in need of a new one a cabinet was gifted from the failed warehouse who recycled the same materials just new knob what have we done to deserve this lawan,-1.051282051,broke (-0.46)  failed (-0.59),1.051282051,0,34,36,negative
we all know what the answer is the health economic and social situation is not going to improve the same clowns are in charge we need the mpn majlispemulihannegara kerajaangagal lawan,0.487179487,improve (0.49),0,0.487179487,30,31,positive
lawan balik,0,,0,0,2,2,neutral
dengar episod terkini di spotify dan lain lain aplikasi podcast pilihan anda lawan demokrasi politikmalaysia kitajagakita,0,,0,0,16,16,neutral
awal ni kena bina imej suami dan bapa yg baik di fesbuk baru la warga fesbuk cayaq kang jd apa org lawan misalnya rakyat fb back up leeeeee daddy dafi baik kottttt amenda korang ni tak reti syukurrrr,0,,0,0,38,38,neutral
abiwankemal sorry wahza lawan,-0.076923077,sorry (-0.08),0.076923077,0,3,4,negative
dekat profile duk lawan bagai tp bila orang kritik ahli kerajaan terus melatah kau nie penyokong atas pagar ke atas langit penyudahnya keliru aku dengan rakyat marhaen nie,0,,0,0,28,28,neutral
memberontak sebab politik tapi tersilap pilih bahan content lalu dikecam hebat hahahahahaha kesian tu la nak lawan tu boleh tapi dengan akal dan ilmu bukan sekadar mengharapkan emosi dan politik melulu,0,,0,0,31,31,neutral
audihilman haha sbb aku nmpak kau ada komplen kenapa jem satu kl diorg buat roblok takut ada perhimpunan lawan tu tp geng polis yg ramai berkumpul demonstrasi xde pun,0.512820513,haha (0.51),0,0.512820513,28,29,positive
tsmusahassan betul tu ceramah sikit geng lawan,0,,0,0,7,7,neutral
pn or not tetap lawan,0,,0,0,5,5,neutral
ramlanroes kucinsuzzy i think anwar definitely a leader that have inspire lawan to do check and balance for govt but i feel he just cant be a problem solver but only a good debater my cents,1.179487179,definitely (0.44)  inspire (0.69)  problem (-0.44)  good (0.49),0.435897436,1.615384615,32,36,positive
garyanwari lmonoly anticytro really so stfu kalau kdymm ydpa dah umum pm kenapa perlu ada lawan kenapa tak terima keputusan ydpa bukan sekali dah kali puak bangang ni persoalkan pm lantikan ydpa tatkala pandemik rasanya kalau takda covi,0,,0,0,38,38,neutral
peachyyaries mena ah boh awal jak support aku lak ku jadi menteri lak takut ko lawan aku lak,0.435897436,support (0.44),0,0.435897436,17,18,positive
kibarkan jalur gemilang dan bendera hitam tanda anda melawan korupsi politikus merdeka ke merdeka dari korupsi jasad dan jiwa inshaallah segalanya akan nampak nanti masa menentukan segalanya lawan syedsaddiq,0,,0,0,29,29,neutral
imagine mr pkbp pkpp pkpd pronouncing this notmypm kerajaangagal lawan,0,,0,0,10,10,neutral
way to go lawan,0,,0,0,4,4,neutral
myraaaaawr haikalje rizuanxy nbody lasaentreprise noreenhadzim nasszali sokong dgn myra golongan muda yg takut dap nie kebanyakkannya sbb influence dgn parents dorang yg pro parti tersebut sejujurnya parents saya antara yg masih berfikiran,0,,0,0,33,33,neutral
rakan rakan aktivis daripada sekretariat solidariti rakyat berada di ipd sentul hari ini untuk membuat laporan polis terhadap salah guna kuasa oleh pihak polis semasa memorial di dataran merdeka tempoh hari lawan lawanintimidasi,0,,0,0,33,33,neutral
perutusan harilahir red panda twitterjaya sila daftar untuk mengundi sudah daftar semak pendaftaran anda bantu membantu sesama sendiri asah bilah gilotin jaga diri anda jangan putus asa simpan resit lawan,0,,0,0,30,30,neutral
i wanted to read this aloud for myself and others to gain some measure of peace with the current condition of malaysia to everyone who is fighting now these words might help under the bludgeonings of chance my head is bloody but unbowed lawan poetry kerajaangagal,1.076923077,gain (0.62)  peace (0.64)  fighting (-0.38)  help (0.44)  chance (0.26)  bloody (-0.49),0.871794872,1.948717949,40,46,positive
never have i ever felt this dangerous lawan lawanintimidasi,-0.538461538,dangerous (-0.54),0.538461538,0,8,9,negative
members of ssr present at ipd sentul to make a police report on the violent and unlawful detention during lawan s candlelight vigil at dataran merdeka last thursday,-1.128205128,violent (-0.74)  detention (-0.38),1.128205128,0,26,28,negative
lawan terus,0,,0,0,2,2,neutral
terima kasih feedback utk thread ini hasil dari penulisan saudara asyraf azni terus lawan dan rt untuk sebaran umum,0,,0,0,19,19,neutral
sunflwrsarah you have our support lawan,0.435897436,support (0.44),0,0.435897436,5,6,positive
donate to cimb bank persatuan pengundi muda reference lawan,0,,0,0,9,9,neutral
notmypm lawan,0,,0,0,2,2,neutral
mantap terus lawan,0,,0,0,3,3,neutral
pagi ni peserta memorial yang ditahan di dataran merdeka khamis lepas membuat laporan polis di ipd sentul atas kekasaran dan salah guna kuasa polis semasa menahan kami lawan,0,,0,0,28,28,neutral
we are at ipd sentul today to make a police report on the violent and unlawful detention after the memorial at dataran merdeka lawanintimidasi lawan,-1.128205128,violent (-0.74)  detention (-0.38),1.128205128,0,23,25,negative
again ignorance kills birokrasi selfishness we see what we see remember what need to be remembered off lawan,-1.461538462,ignorance (-0.38)  kills (-0.64)  selfishness (-0.44),1.461538462,0,15,18,negative
the article i m fumed kerajaangagal lawan notmypm,-0.461538462,fumed (-0.46),0.461538462,0,7,8,negative
malaysiagazette penderhaka besar penganti takiyudin bukaparlimen lawan,0,,0,0,7,7,neutral
berita semalam ada liputan di hutan jerantut pahang sedang musim bunga pegawai terangkan ttg bunga pokok hutan yg sama dengan lukisan seed of resistance yg berlegar di twitter semasa protes lawan terus aku cari foto asal dan nah,-0.102564103,nah (-0.10),0.102564103,0,37,38,negative
rozyrazit umno akan tarik semua mp bersatu umno akan kembali kuat pkr dan dap akan jadi bahan lawan,0,,0,0,18,18,neutral
haziqzolkiflee teruskan lawan abaikan bangsat macam ni lawan,0,,0,0,8,8,neutral
aku dh ready ni kalau ada demo lawan teruih sarung,0.384615385,ready (0.38),0,0.384615385,9,10,positive
cepat release saya nak join muda lawan ni,0.307692308,join (0.31),0,0.307692308,7,8,positive
anda penat lawan last gerombolan kalah umno jugak dpt naik lepas tu anda meracau notmypm lain kali panjangkanlah akal mu wahai anak muda,0,,0,0,23,23,neutral
syhdzhr ogos da hantar surat kat ipd dang wangi cakap perhimpunan lawan ogos dibatalkan tapi polis still buat roadblock,0,,0,0,19,19,neutral
antid oto musuh rakyat adalah covid daripada lawan baik pergi jadi sukarelawan di ppv,0,,0,0,14,14,neutral
betul punya lawan ni,0,,0,0,4,4,neutral
sibuk nak lawan lah kerajaangagal lah apa lah tapi kau pun bingai dont be the reason the country falls apart,0,,0,0,20,20,neutral
syabas polis jayakan lawan i was sitting somewhere having a delicious salmon tempura best troll yet by sevan,1.512820513,delicious (0.69)  best (0.82),0,1.512820513,16,18,positive
hzajin ini bukan masa untuk lawan kerajaan tak boleh tunggu election ke baru betul,0,,0,0,14,14,neutral
taliban yang berpakaian lagak pasukan elit memomok pentadbiran us dengan bergambar mimik peristiwa iwo jima bikin panas betul lawan labbaikyahussain,0,,0,0,20,20,neutral
orang blackflag dengan lawan ni memang bodoh eh ke tak paham bahasa melayu no wonder la orang tua bleh ckp org muda zaman skrg hampir semua otak benak negara tengah sakit duk tabuh garam kat luka lagi kerajaan badut ngn rakyat pun ikut badut clown to clow communication,-0.307692308,no (-0.31),0.307692308,0,47,48,negative
sccssccsccs lcsmxms syedsaddiq partimuda dapmalaysia anwaribrahim suarakeadilan msabu official mohdshafieapdal chedetofficial sprmmalaysia as for msian politics i can only say this give ismailsabri a chance to take the right steps to ge,0.256410256,chance (0.26),0,0.256410256,31,32,positive
zttz morning except those can t accepting the new form government but still wanna to lawan becoz their leader still as pm tepi bingai ada aku kisah,0.41025641,accepting (0.41),0,0.41025641,26,27,positive
mengapa pdrm bazir peluang untuk pembukaan sector economy di pusat bandar kl dengan penutupan jalan raya station lrt amp mrt dan bas rapid kl pihak lawan sudah memberi tahu media akhbar bahawa mereka tidak akan menjalankan aktiviti lawan pada hari sabtu august lagipun,0,,0,0,43,43,neutral
part sangat clear rakyat malaysia kena faham lawan,0.41025641,clear (0.41),0,0.41025641,7,8,positive
i will see my colourful flag again some day i m not giving up lawan,0.358974359,giving (0.36),0,0.358974359,14,15,positive
many of us have lost hope country has been stolen by corrupt politicians only thing left is lawan kerajaangagal malaysia,-0.41025641,lost (-0.33)  hope (0.49)  stolen (-0.56),0.897435897,0.487179487,17,20,negative
the youths of malaysia are being silenced by kerajaangagal i certainly hope they will continue to lawan,0.846153846,certainly (0.36)  hope (0.49),0,0.846153846,15,17,positive
list orang aktivis lawan dah tersebar oleh geng geng anjing umno sekarang kita pressure pulak diorang untuk release yang terlibat scandal issue cartel macam cartel daging haram yang berlaku selama tahun,-0.794871795,pressure (-0.31)  scandal (-0.49),0.794871795,0,29,31,negative
everyday is not a rainy day there will always be sunshine after the rain lawan malaysiaboleh democracy lindungidirilindungisemua kitajagakita,0.487179487,rainy (-0.08)  sunshine (0.56),0.076923077,0.564102564,17,19,positive
sorry lawan is cancelled the tweet the reply,-0.333333333,sorry (-0.08)  cancelled (-0.26),0.333333333,0,6,8,negative
ape yg jadi kat malaysia sesungguhnya allah maha bijaksana hv faith in allah insyaallah malaysia kembali bersinar lawan,0.461538462,faith (0.46),0,0.461538462,17,18,positive
to all malaysians with love from zara jayne lawan may this light be more than enough for you so that you can stop fighting for your life but start living it again full video here or here malaysia covid,0.128205128,love (0.82)  stop (-0.31)  fighting (-0.38),0.692307692,0.820512821,36,39,positive
lawan lupa lawan pemikiran tidak kritikal,0,,0,0,6,6,neutral
